index,value
Acer,0.05083531249311594
Apple,0.021293292023321655
Asus,0.11820129484898662
Chuwi,0.00020043703573475457
Dell,0.2524585691378167
Fujitsu,0.002376396830161728
Google,0.002914602844785092
HP,0.2181396030498624
Huawei,0.0022509369624757938
LG,0.0013984144946708268
Lenovo,0.21320409886876002
MSI,0.04546026691593638
Mediacom,0.00033939206048359187
Microsoft,0.00581287390940024
Razer,0.004791081907257749
Samsung,0.006431436641046508
Toshiba,0.04825144461046267
Vero,8.664252536339613e-05
Xiaomi,0.005553902840357847
